Unit Number,Responsible Trade,Defect
Unit 20,Cabinet maker,Bed 3 and 4 edge tape needs fixing
Unit 18,Cabinet maker,Edge tape needs fixiong bed 3
Unit 17,Cabinet maker,Fix chips on curved kitchen piece
Unit 13,Cabinet maker,Back kitchen panel needs replacing - too much damage (wait for delivery from China)
Unit 13,Cabinet maker,Chips on kitchen corner unit (waiting on replacement from China)
Unit 13,Cabinet maker,Bed 3 wadrobe doors to be installed (waiting on track delivery from China)
Unit 12,Cabinet maker,Fix pantry shelf
Unit 12,Cabinet maker,Draw front missing in kitchen (waiting on delivery from China)
Unit 12,Cabinet maker,Bed 4 edge tape needs fixing
Unit 1,Cabinet maker,Fix chip on left cupboard in corner above cooktop with wax
Unit 1,Cabinet maker,Bed 4 edge tape needs fixing
Unit 3,Cabinet maker,Bed 4 edge tape needs fixing
Unit 4,Cabinet maker,Bed 2 edge tape needs fixing
Unit 4,Cabinet maker,Bed 4 wadrobe door wheels need replacing
Unit 4,Cabinet maker,Pantry shelf is missing
Unit 8,Cabinet maker,Rangehood cupboard needs securing
Unit 15,Cabinet maker,level right door on ensuite vanity
Unit 14,Cabinet maker,Remove bracket so dishwasher can get pushed in
Unit 15,Cabinet maker,Panel above fridge needs fixing (waiting on China delivery)
Unit 3,Cabinet maker,Fix kitchen counter
Units 21-25,Carpenter,Install doorstops in unit
Unit 21-25,Carpenter,"Check front door locks are functional, there was one that was not working properly"
Unit 21,Carpenter,Swop front door locks with unit 25
Unit 15,Carpenter,Install skirting behind fridge
Unit  20,Carpenter,Powder room hardware missing
Gatehouse,Carpenter,Fix missing facia end cap
Check units,Carpenter,Install skirting pantries and storeroom
Check units,Carpenter,Install quarteround around enterance
All,Carpenter,Install half moon doorstops on all units
All,Carpenter,Check all gliders for cavity sliding doors
All,Carpenter,Install half moon doorstops infront of wadrobe door
Unit 25,Carpenter,Swop front door locks with unit 21
Unit 24,Carpenter,Fix frame on the back of wall
Unit 24,Carpenter,Fix architraves in pantry
Unit 23,Carpenter,Bed 3 door catching
Unit 23,Carpenter,Upstairs doors are scraping
Unit 23,Carpenter,Cavity door to garage is scraping
Unit 22,Carpenter,Fix architraves in pantry
Unit 20,Carpenter,Guide to pantry missing
Unit 20,Carpenter,Missing skirting in garage
Unit 20,Carpenter,Pantry door needs guides
Unit 19,Carpenter,Doors scraping on carpets
Unit 19,Carpenter,Door scraping bedroom 3
Unit 18,Carpenter,Bed 3 qand 4 scraping
Unit 18,Carpenter,Front door not working
Unit 14,Carpenter,Fix cladding outside that was patched.
Unit 13,Carpenter,Skirting around back of kitchen
Unit 13,Carpenter,Skirting next to pantry area
Unit 12,Carpenter,Install all doors
Unit 12,Carpenter,Upstairs door missing
Unit 11,Carpenter,Install skirting in coat room
Unit 11,Carpenter,Ensuite door cavity doesn’t lock
Unit 10,Carpenter,Pantry door loose may need glides
Unit 10,Carpenter,Missing guides on cacity sliding door
Unit 9,Carpenter,Upstairs bathroom door doesn't close
Unit 9,Carpenter,Door handle bed 3 not centre
Unit 8,Carpenter,Main bedroom handle is faulty
Unit 7,Carpenter,Ensuite cavity slider doesn't lock
Unit 6,Carpenter,En suite cavity slider too low
Unit 6,Carpenter,Cavity door to garage loos needs glides
Unit 6,Carpenter,Upstairs sliding cavity does not work good
Unit 5,Carpenter,En suite cavity slider doesn't lock
Unit 4,Carpenter,Bedroom door door doesn't close and scrapes on the carpet
Unit 2,Carpenter,En suite cavity slider doesn't lock
Unit 1,Carpenter,Fix toilet roll holder
Unit 1,Carpenter,En suite cavity slider doesn't lock
